1、您的性别？,2、您的年龄？,3、您是否了解预制菜？,4、平时就餐您更倾向于选择哪种？,5、您上一题选择此答案的原因是,6、您食用开封后就能吃的即食食品的频率？,7、您食用加热后就能吃的即热食品的频率？,8、您食用还需下锅烹饪才能吃的即烹食品的频率？,9、您购买切好清洗好的肉或蔬菜这种即配食品的频率？,10、预制菜作为近年来餐饮行业发展的一种形式，您能接受的价格为多少？,11、您更倾向通过何种方式购买预制菜,12、如果您选择购买预制菜作为您的正餐，会更注重品牌吗？,13、您听说过或购买过哪些预制菜的品牌？,14、针对预制菜的发展，您认为以下哪个问题急需要被改善或者解决？,15、预制菜的未来还需时间的检验，请您就预制菜的发展提出宝贵的意见和建议。
女,18-25岁,不了解,堂食,价格实惠|干净卫生|地点上方便,约一个礼拜一次,几乎不,几乎不,几乎不,20-30元|30-40元,生鲜超市|熟食店,会，大品牌放心可靠。,其他,价格问题|食品安全问题,希望可以注重食品安全
女,18-25岁,不了解,堂食|买菜做饭,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,几乎每天,几乎不,10-20元,生鲜超市,不会，更注重口味。,自嗨锅|海底捞,食品安全问题,无
女,18岁以下,了解,堂食,口味多样,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,几乎每天,20-30元,生鲜超市|堂食门店,会，大品牌放心可靠。,正大|自嗨锅|海底捞,菜品种类问题|食品安全问题|购买配送问题,多发展产品
男,18-25岁,了解,堂食|外卖,干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,几乎不,几乎不,10-20元,生鲜超市,会，大品牌放心可靠。,正大|自嗨锅|西贝|京东生鲜,食品安全问题,无
女,18-25岁,不了解,堂食|买菜做饭,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,几乎每天,几乎每天,10-20元|20-30元,生鲜超市|电商平台|堂食门店|熟食店,不会，更注重口味。,自嗨锅|海底捞,食品安全问题,希望注重干净卫生味道佳价格合适
女,18-25岁,不了解,堂食|外卖|买菜做饭,口味多样|干净卫生|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,几乎不,20-30元|30-40元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|海底捞,菜品种类问题|食品安全问题|购买配送问题,口味可以更多一些，食品安全问题也要重视
男,18-25岁,不了解,堂食|外卖|打包自提|买菜做饭,价格实惠|口味多样|时间上便捷,约一个礼拜一次,约一个月一次,约一个礼拜一次,约一个礼拜一次,10-20元|20-30元|30-40元,生鲜超市|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞|其他,价格问题|菜品种类问题|食品安全问题,无
女,18-25岁,不了解,堂食|买菜做饭,干净卫生|地点上方便,几乎每天,约一个礼拜一次,约一个礼拜一次,几乎每天,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,菜品种类问题|食品安全问题,无
男,18-25岁,不了解,堂食,价格实惠|地点上方便,几乎每天,约一个礼拜一次,几乎不,几乎不,20-30元,生鲜超市|电商平台|熟食店,不会，更注重口味。,自嗨锅|海底捞,菜品种类问题,增加品种
男,18-25岁,了解,外卖|买菜做饭,干净卫生|时间上便捷,几乎每天,几乎每天,几乎每天,约一个礼拜一次,10-20元,电商平台,会，大品牌放心可靠。,自嗨锅|海底捞,食品安全问题,提高产品质量，注重食品安全
男,18-25岁,不了解,堂食|外卖,地点上方便,几乎不,几乎不,几乎不,几乎不,10-20元,电商平台,会，大品牌放心可靠。,正大,食品安全问题,无
男,18-25岁,了解,堂食|外卖,干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,几乎每天,几乎每天,20-30元|30-40元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|西贝|海底捞,食品安全问题,希望菜品能得到保障
男,18-25岁,不了解,堂食|外卖|方便面类食品,价格实惠|口味多样|地点上方便|时间上便捷,约一个礼拜一次,几乎不,约一个月一次,几乎不,20-30元,生鲜超市|堂食门店,会，大品牌放心可靠。,自嗨锅|海底捞,菜品种类问题|食品安全问题|购买配送问题,方便卫生
女,18-25岁,不了解,堂食|外卖|方便面类食品,地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,电商平台|堂食门店,会，大品牌放心可靠。,自嗨锅|海底捞,菜品种类问题|食品安全问题,卫生安全问题
女,18-25岁,了解,堂食|外卖|打包自提|方便面类食品,价格实惠|地点上方便|时间上便捷,约一个礼拜一次,几乎不,几乎不,几乎不,10-20元|20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,知味观|正大|自嗨锅|海底捞,食品安全问题,价格相比平常堂食较高，可以适当降价
男,18-25岁,了解,堂食,干净卫生,约一个礼拜一次,几乎不,几乎每天,几乎不,10-20元,生鲜超市,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题,注重食品安全
女,18-25岁,了解,堂食|外卖|买菜做饭,干净卫生|时间上便捷,几乎每天,几乎不,几乎不,几乎不,10-20元|20-30元,生鲜超市|熟食店,会，大品牌放心可靠。,自嗨锅|海底捞,食品安全问题,食品安全和口味都很重要
男,18-25岁,了解,堂食|打包自提,口味多样|地点上方便,约一个月一次,约一个月一次,约一个月一次,几乎每天,10-20元|20-30元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|自嗨锅|西贝,菜品种类问题|食品安全问题|购买配送问题,无
男,18-25岁,了解,堂食|买菜做饭,价格实惠|干净卫生|时间上便捷,几乎每天,约一个礼拜一次,几乎每天,几乎每天,20-30元,生鲜超市,会，大品牌放心可靠。,自嗨锅|西贝|京东生鲜|海底捞,食品安全问题|购买配送问题,在包装的品控方面提升，减轻环境负担同时提升食品安全
男,18-25岁,了解,买菜做饭,价格实惠|口味多样,约一个月一次,约一个月一次,几乎每天,几乎每天,10-20元,电商平台,会，大品牌放心可靠。,自嗨锅,价格问题|食品安全问题,-. ---
男,18-25岁,不了解,堂食,口味多样|地点上方便|时间上便捷,约一个月一次,几乎不,几乎不,几乎不,10-20元,堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
女,18-25岁,不了解,堂食,价格实惠,几乎每天,几乎每天,几乎每天,几乎每天,10-20元,生鲜超市,会，大品牌放心可靠。,知味观,价格问题,无
女,18-25岁,不了解,堂食,地点上方便|时间上便捷,几乎不,几乎不,约一个月一次,几乎每天,30-40元|40元及以上,生鲜超市|电商平台|堂食门店|熟食店,不会，更注重口味。,自嗨锅|海底捞,食品安全问题,不要走康师傅老路
女,45岁以上,不了解,买菜做饭,价格实惠|干净卫生,约一个礼拜一次,约一个礼拜一次,几乎不,几乎不,20-30元,熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜,价格问题|食品安全问题|购买配送问题,价格更实惠
女,18-25岁,了解,堂食|预制菜|买菜做饭|方便面类食品,价格实惠|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,约一个礼拜一次,约一个月一次,10-20元|20-30元|30-40元,生鲜超市|熟食店,会，大品牌放心可靠。,自嗨锅|海底捞,食品安全问题,emm，预制菜种类越来越多，这一点非常棒。但是超市什么的卖的种类不太多，可以稍微发展一下，毕竟回家顺路去超市买东西的人还是蛮多的。
男,18-25岁,不了解,外卖,口味多样|干净卫生,几乎每天,几乎每天,约一个礼拜一次,几乎每天,30-40元|40元及以上,电商平台,会，大品牌放心可靠。,自嗨锅|海底捞,价格问题,需要更多时间走进市场
男,18-25岁,了解,外卖|买菜做饭,价格实惠|干净卫生,约一个礼拜一次,几乎每天,几乎每天,约一个礼拜一次,10-20元|20-30元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,正大|自嗨锅|西贝|海底捞,价格问题|食品安全问题,更加健康   更加干净卫生
男,26-35岁,了解,外卖|打包自提,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,正大|自嗨锅|京东生鲜,菜品种类问题|食品安全问题,无
女,18-25岁,了解,堂食|买菜做饭,价格实惠|口味多样|干净卫生,约一个礼拜一次,约一个月一次,几乎不,约一个礼拜一次,10-20元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜,价格问题|菜品种类问题|食品安全问题,提升营养
女,18-25岁,了解,堂食|预制菜|买菜做饭,价格实惠|口味多样|干净卫生|时间上便捷,约一个礼拜一次,约一个礼拜一次,几乎每天,约一个月一次,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,知味观|正大|自嗨锅,价格问题|菜品种类问题|食品安全问题,注重食品安全问题
女,45岁以上,不了解,堂食|买菜做饭,价格实惠|时间上便捷,约一个月一次,约一个月一次,约一个月一次,几乎不,20-30元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|西贝|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题,希望预制菜的价格还能偏低一点，更适合广大普通消费者。同时种类更丰富，营养更全面。
男,18-25岁,了解,堂食,价格实惠|干净卫生,约一个礼拜一次,约一个月一次,几乎每天,几乎每天,20-30元,堂食门店,会，大品牌放心可靠。,知味观,价格问题,多传播预制菜
男,18-25岁,了解,堂食|打包自提,口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,几乎不,几乎每天,几乎不,20-30元,生鲜超市,会，大品牌放心可靠。,自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题,制作流程更加透明化 让消费者放心
女,18-25岁,不了解,外卖|买菜做饭,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个月一次,几乎不,几乎不,几乎不,10-20元|20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|西贝|海底捞,价格问题|菜品种类问题,种类好像不多，以我所知道的就是像自嗨锅那种火锅类和煲仔饭类的，其次有的价格很高（比如肖战代言的那个我给忘了叫什么了）买这个的价格还不如点外卖
男,18-25岁,不了解,堂食|外卖|预制菜|买菜做饭,价格实惠|口味多样|干净卫生|地点上方便,约一个礼拜一次,约一个月一次,几乎不,几乎不,10-20元|20-30元,生鲜超市|电商平台|堂食门店,会，大品牌放心可靠。,知味观|自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,预制菜必须得健康，口味也要提升上来，价格不能太贵
女,18-25岁,了解,堂食|外卖|预制菜|买菜做饭,价格实惠|口味多样|地点上方便|时间上便捷,几乎每天,约一个礼拜一次,几乎每天,约一个月一次,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,知味观|自嗨锅,价格问题|菜品种类问题,食品安全
男,18-25岁,不了解,外卖,口味多样,约一个礼拜一次,几乎不,几乎每天,几乎不,20-30元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,京东生鲜|海底捞,菜品种类问题|购买配送问题,推广不太够吧
女,18-25岁,不了解,堂食,口味多样|地点上方便|时间上便捷,约一个礼拜一次,几乎不,几乎不,几乎不,10-20元|20-30元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅,食品安全问题|购买配送问题,无
女,18-25岁,不了解,堂食|外卖|买菜做饭|方便面类食品,价格实惠|口味多样|干净卫生|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,几乎不,20-30元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,知味观|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,我会更偏向于保质期偏短的预制菜，因为在我看来可能添加剂会更少一些，我会给更放心，但是如果这样的话，电商的预制菜可能会因为保鲜等问题需要更多的配送费用
女,45岁以上,不了解,买菜做饭,价格实惠|干净卫生,几乎不,几乎不,几乎不,几乎不,10-20元,熟食店,会，大品牌放心可靠。,海底捞,价格问题,性价比高，价格合理，品质高。
男,18-25岁,了解,外卖|方便面类食品,价格实惠|口味多样|时间上便捷,约一个礼拜一次,几乎每天,几乎每天,约一个礼拜一次,10-20元|20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,知味观,价格问题,调查口味偏好  做好饮食安全
男,18-25岁,了解,堂食,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个月一次,约一个礼拜一次,几乎不,几乎不,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,正大|自嗨锅,价格问题|食品安全问题,，
女,18-25岁,不了解,堂食|买菜做饭,价格实惠|干净卫生,约一个月一次,约一个月一次,几乎每天,几乎不,10-20元,生鲜超市,会，大品牌放心可靠。,正大|自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题,无
男,18-25岁,了解,堂食|买菜做饭|方便面类食品,价格实惠|口味多样,约一个礼拜一次,几乎不,几乎不,约一个礼拜一次,10-20元|20-30元,堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题|购买配送问题,菜品再加热有时控制不好时间和火候，而且有些热剩饭的感觉 会破坏菜的品相。
女,36-45岁,不了解,买菜做饭,干净卫生,几乎不,几乎不,约一个月一次,几乎不,10-20元,生鲜超市,不会，更注重口味。,海底捞,食品安全问题,干净卫生
男,26-35岁,了解,堂食|打包自提|买菜做饭,价格实惠|口味多样|干净卫生,约一个月一次,几乎不,几乎不,约一个月一次,30-40元,电商平台,会，大品牌放心可靠。,自嗨锅,菜品种类问题,无
男,18-25岁,不了解,堂食,价格实惠|口味多样|干净卫生,几乎每天,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,电商平台,会，大品牌放心可靠。,正大,价格问题,无
男,18-25岁,不了解,堂食,价格实惠|地点上方便|时间上便捷,约一个月一次,几乎不,几乎不,几乎不,10-20元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,首要的还是卫生，之后就是价格要合适。
女,18-25岁,了解,外卖|买菜做饭|方便面类食品,价格实惠|干净卫生|地点上方便|时间上便捷,约一个月一次,几乎不,几乎每天,几乎每天,20-30元|30-40元,电商平台|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅,价格问题,无
女,18-25岁,了解,堂食,地点上方便|时间上便捷,几乎不,几乎不,几乎不,几乎不,10-20元,生鲜超市|电商平台|堂食门店,会，大品牌放心可靠。,自嗨锅|海底捞,食品安全问题,希望他能蓬勃健康发展 给未来饮食提供一个优质又放心的选择
女,45岁以上,不了解,堂食|外卖|打包自提|买菜做饭,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,几乎不,几乎不,几乎每天,几乎不,20-30元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,严控质量，方便配送
女,26-35岁,不了解,堂食|外卖|买菜做饭|方便面类食品,口味多样|地点上方便|时间上便捷,约一个月一次,几乎不,几乎不,几乎不,10-20元,生鲜超市,不会，更注重口味。,正大,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
女,26-35岁,不了解,堂食,口味多样|地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,几乎每天,几乎不,10-20元,生鲜超市|电商平台,会，大品牌放心可靠。,西贝|京东生鲜,价格问题|菜品种类问题,预制菜的特点和优点需要更大力度宣传
女,26-35岁,不了解,堂食|买菜做饭,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个月一次,几乎不,几乎每天,几乎不,10-20元|20-30元|30-40元|40元及以上,生鲜超市|熟食店,会，大品牌放心可靠。,京东生鲜|海底捞|其他,价格问题|菜品种类问题|食品安全问题|购买配送问题,健康卫生是第一要领。其次味道要好，物美价廉，配送方便。
女,18-25岁,不了解,堂食|外卖|打包自提|方便面类食品,口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,几乎不,约一个礼拜一次,10-20元|20-30元|30-40元,堂食门店,不会，更注重口味。,自嗨锅|西贝|京东生鲜|海底捞,价格问题|食品安全问题,无
女,18-25岁,了解,外卖|打包自提,口味多样|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,约一个礼拜一次,几乎每天,10-20元|20-30元,生鲜超市|电商平台|堂食门店,会，大品牌放心可靠。,自嗨锅|海底捞,价格问题|食品安全问题,由近期的315老坛酸菜和双汇火腿肠事件，预制菜品行业食品安全方面黑幕可见一斑。第一，我们身边的大量餐饮商户都会贩卖米饭+预制菜包+焯水青菜的盒饭组合，而这些预制菜包的代工厂大多零零散散，对于它们是否合规我们都无从知晓。第二，一些自热火锅、自热盒饭不仅售价高昂，而且会为了口味重油重盐。消费者购买预制菜无非是为了便捷实惠、安全放心，所以预制菜品应将原料来源和制作流程对消费者公开透明，在官方网站上发表相关负责任的声明，并做到定价合理。
男,18-25岁,不了解,堂食,时间上便捷,几乎不,约一个月一次,几乎每天,几乎不,40元及以上,生鲜超市|电商平台|堂食门店,不会，更注重口味。,知味观|正大|自嗨锅|西贝|海底捞,食品安全问题,保证食品安全
男,36-45岁,不了解,堂食,口味多样|干净卫生,约一个月一次,约一个月一次,几乎每天,约一个礼拜一次,10-20元,生鲜超市,会，大品牌放心可靠。,其他〖没听说过〗,价格问题|菜品种类问题|食品安全问题|购买配送问题,不太了解
女,18-25岁,不了解,外卖|打包自提|买菜做饭|方便面类食品,价格实惠|口味多样|干净卫生|地点上方便,几乎不,约一个礼拜一次,几乎每天,几乎每天,10-20元,生鲜超市|熟食店,会，大品牌放心可靠。,自嗨锅|海底捞,菜品种类问题,..
女,18-25岁,不了解,外卖|打包自提,价格实惠|干净卫生,几乎每天,几乎每天,几乎每天,几乎每天,10-20元,生鲜超市,会，大品牌放心可靠。,自嗨锅|海底捞,食品安全问题,无
女,18-25岁,不了解,堂食|方便面类食品,价格实惠|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,几乎不,10-20元|20-30元,生鲜超市|熟食店,不会，更注重口味。,自嗨锅|京东生鲜|海底捞,食品安全问题,无
女,18-25岁,不了解,堂食,地点上方便,约一个月一次,约一个月一次,约一个礼拜一次,约一个礼拜一次,20-30元,生鲜超市|堂食门店,会，大品牌放心可靠。,知味观|正大|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,健康安全就好
女,18-25岁,不了解,堂食|外卖|打包自提|预制菜|买菜做饭|方便面类食品,价格实惠|口味多样|地点上方便|时间上便捷,几乎每天,约一个礼拜一次,约一个礼拜一次,几乎不,10-20元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题,无
女,36-45岁,不了解,买菜做饭,干净卫生,几乎不,几乎不,几乎不,几乎不,10-20元,生鲜超市,会，大品牌放心可靠。,京东生鲜,价格问题|食品安全问题,一定要健康干净卫生
女,18-25岁,不了解,堂食|打包自提,时间上便捷,约一个月一次,约一个月一次,几乎不,几乎不,20-30元,生鲜超市|电商平台|堂食门店|熟食店,不会，更注重口味。,其他,食品安全问题,一定要确保卫生问题
女,18-25岁,不了解,外卖,口味多样,约一个礼拜一次,几乎不,约一个月一次,几乎不,10-20元,生鲜超市,会，大品牌放心可靠。,自嗨锅|海底捞,食品安全问题,无
女,18-25岁,了解,买菜做饭,干净卫生,几乎不,几乎不,几乎每天,几乎每天,10-20元,生鲜超市,会，大品牌放心可靠。,知味观|自嗨锅|京东生鲜|海底捞,价格问题|食品安全问题,w
女,18-25岁,了解,堂食|预制菜|买菜做饭,价格实惠|口味多样,约一个礼拜一次,约一个月一次,约一个月一次,几乎不,10-20元,生鲜超市|电商平台,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题|购买配送问题,食品安全得在第一位，价钱不能太贵，种类营养搭配要均衡。
女,18-25岁,不了解,堂食|外卖|买菜做饭,口味多样|干净卫生,约一个月一次,约一个礼拜一次,几乎每天,几乎每天,10-20元|20-30元,生鲜超市|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
女,18-25岁,不了解,堂食|预制菜|买菜做饭,干净卫生|地点上方便|时间上便捷,几乎不,约一个礼拜一次,几乎不,几乎不,30-40元,生鲜超市|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题|购买配送问题,最主要让人们能够吃着放心，食品安全是最为重要的
女,18-25岁,不了解,堂食|外卖,价格实惠|口味多样|地点上方便|时间上便捷,约一个礼拜一次,几乎不,几乎不,几乎不,10-20元|20-30元,生鲜超市|电商平台,不会，更注重口味。,自嗨锅|海底捞,价格问题|食品安全问题|购买配送问题,无
女,18-25岁,了解,堂食|外卖|打包自提,价格实惠|口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,10-20元|20-30元|30-40元|40元及以上,生鲜超市|堂食门店|熟食店,不会，更注重口味。,知味观|正大,价格问题|菜品种类问题,健康干净就行
女,18-25岁,不了解,外卖,价格实惠,约一个礼拜一次,约一个月一次,几乎不,约一个月一次,20-30元,熟食店,会，大品牌放心可靠。,知味观,购买配送问题,很好
男,45岁以上,了解,堂食,地点上方便,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个月一次,20-30元|30-40元,生鲜超市|堂食门店,会，大品牌放心可靠。,自嗨锅|海底捞,食品安全问题,原材料采购，食品安全。
男,18-25岁,了解,堂食|买菜做饭|方便面类食品,价格实惠|口味多样|干净卫生,约一个礼拜一次,约一个月一次,几乎不,几乎每天,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,知味观|正大|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题,希望口味多样化。
女,18-25岁,不了解,打包自提|买菜做饭,干净卫生,几乎不,几乎不,几乎不,几乎不,10-20元,生鲜超市|电商平台,不会，更注重口味。,自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,价格便宜  东西有质量  服务到位
女,18-25岁,不了解,外卖,时间上便捷,约一个礼拜一次,几乎每天,几乎每天,几乎不,10-20元,生鲜超市,不会，更注重口味。,自嗨锅|海底捞,购买配送问题,便宜好吃安全健康
男,18-25岁,不了解,堂食|外卖|方便面类食品,地点上方便|时间上便捷,约一个月一次,约一个月一次,几乎不,几乎不,30-40元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅,价格问题,无
女,18-25岁,不了解,堂食|外卖|买菜做饭,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,几乎不,约一个礼拜一次,10-20元,电商平台,会，大品牌放心可靠。,其他〖不晓得 没听过〗,价格问题|菜品种类问题|食品安全问题|购买配送问题,预制菜是啥啊 求科普
女,18-25岁,不了解,堂食|外卖|打包自提,价格实惠|口味多样|地点上方便|时间上便捷,约一个月一次,几乎不,几乎不,几乎不,10-20元,生鲜超市|电商平台,不会，更注重口味。,自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,便宜点
男,18-25岁,了解,堂食|外卖|方便面类食品,价格实惠|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,约一个月一次,约一个月一次,10-20元|20-30元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜,购买配送问题,加油
男,18-25岁,不了解,堂食,地点上方便,几乎不,几乎不,几乎不,几乎不,20-30元,熟食店,不会，更注重口味。,自嗨锅|西贝|海底捞,食品安全问题,无
女,18-25岁,不了解,堂食|外卖|打包自提|预制菜|买菜做饭|方便面类食品,地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个月一次,约一个月一次,10-20元|20-30元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,菜品种类问题|食品安全问题,无
女,45岁以上,了解,买菜做饭,干净卫生,约一个月一次,几乎不,几乎每天,几乎不,10-20元,电商平台,会，大品牌放心可靠。,自嗨锅|京东生鲜,菜品种类问题,保证干净卫生，口味更多样
女,36-45岁,不了解,买菜做饭,价格实惠|干净卫生|地点上方便,约一个月一次,几乎不,约一个月一次,几乎不,20-30元|30-40元,生鲜超市|堂食门店|熟食店,会，大品牌放心可靠。,自嗨锅|京东生鲜|海底捞,食品安全问题|购买配送问题,菜品尽可能少的调料，配送过程中的食品安全和保鲜应该注重。
